127.0.0.1, 2013-11-05 23:54:53, GET, /HelloWorld/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000675
127.0.0.1, 2013-11-05 23:54:53, GET, /HelloWorld/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000676
127.0.0.1, 2013-11-05 23:54:53, GET, /HelloWorld/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2013-11-05 23:54:53, GET, /HelloWorld/static/js/share.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/css/web2py.css, HTTP/1.1, 200, 0.001486
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/js/jquery.js, HTTP/1.1, 200, 0.002659
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/js/calendar.js, HTTP/1.1, 200, 0.003151
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/css/calendar.css, HTTP/1.1, 200, 0.002106
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/images/twitter.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/images/facebook.png, HTTP/1.1, 200, 0.000608
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/images/gplus-32.png, HTTP/1.1, 200, 0.000650
127.0.0.1, 2013-11-05 23:54:54, GET, /HelloWorld/static/images/favicon.ico, HTTP/1.1, 200, 0.000665
127.0.0.1, 2013-11-05 23:55:08, GET, /admin/default/index, HTTP/1.1, 303, 0.005742
127.0.0.1, 2013-11-05 23:55:08, GET, /admin/default/site, HTTP/1.1, 200, 0.047163
127.0.0.1, 2013-11-05 23:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2013-11-05 23:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2013-11-05 23:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
